Date Time,A1(10),A2(20),A3(30),A4(40),A5(50),A6(60),T1(10),T2(20),T3(30),T4(40),T5(50),T6(60),C1,C2,V1,T65,G1,G2,G3
2025/05/09 15:06:09,0,2.24228,8.42486,15.09664,15.37659,6.94226,27.8098,20.14085,14.96221,13.90809,13.36008,13.02219,16,-84,-1,-1000,1,1,-127
2025/05/09 15:21:01,0,2.23172,8.41432,15.08583,15.37266,6.94226,28.52645,20.19069,15.01278,13.92313,13.49145,13.02219,12.2,-80,-1,-1000,1,1,-127
2025/05/09 15:51:01,0,2.2177,8.41168,15.08583,15.36873,6.94007,27.83539,20.3901,15.13921,14.00191,13.46517,13.02219,10,-87,-1,-1000,1,1,-127
2025/05/09 16:06:01,0,2.2142,8.41958,15.08222,15.35303,6.94226,27.55385,20.3901,15.13921,14.00191,13.49145,13.02219,14.8,-81,-1,-1000,1,1,-127
2025/05/09 16:21:01,0,2.20838,8.41168,15.10385,15.35696,6.94007,27.70742,20.3901,15.1645,13.93436,13.49145,13.02219,10.2,-80,-1,-1000,1,1,-127
2025/05/09 16:36:01,0,2.20489,8.41168,15.10385,15.35303,6.93789,27.70742,20.41037,15.29093,13.93436,13.49145,13.04834,11.5,-91,-1,-1000,1,1,-127
2025/05/09 16:51:01,0,2.19792,8.40641,15.08943,15.35303,6.94007,27.70742,20.4509,15.34151,14.03192,13.49145,13.02219,12,-79,-1,-1000,1,1,-127
2025/05/09 17:06:01,0,2.19328,8.41168,15.10385,15.35696,6.93571,27.75861,20.41037,15.34151,14.06194,13.49145,13.02219,9.5,-87,-1,-1000,1,1,-127
2025/05/09 17:21:01,0,2.1898,8.41432,15.07143,15.35696,6.93571,28.14253,20.3901,15.34151,14.14074,13.49145,13.07452,14.2,-81,-1,-1000,1,1,-127
2025/05/09 17:36:01,0,2.1898,8.40378,15.08583,15.35303,6.93789,28.32169,20.41037,15.44265,14.14074,13.49145,13.04834,12,-81,-1,-1000,1,1,-127
2025/05/09 17:51:01,0,2.1817,8.40904,15.09304,15.35303,6.93789,28.57764,20.4898,15.49322,14.21197,13.49145,13.02219,10.2,-94,-1,-1000,1,1,-127
2025/05/09 18:06:01,0,2.17709,8.40904,15.07143,15.35696,6.93789,28.52645,20.62998,15.54378,14.23443,13.49145,13.07452,14,-82,-1,-1000,1,1,-127
2025/05/09 18:21:01,0,2.17247,8.40641,15.07863,15.35696,6.93789,27.57945,20.62998,15.52253,14.16699,13.49145,13.04834,11.5,-87,-1,-1000,-1001,-1001,-1001
2025/05/09 18:51:01,0,2.17247,8.41168,15.08943,15.35696,6.93571,25.65983,20.211,15.54378,14.2458,13.51772,13.02219,12.8,-86,-1,-1000,1,1,-127
2025/05/09 19:06:07,0,2.16787,8.41432,15.08583,15.34126,6.93789,24.86448,20.03196,15.54378,14.1927,13.51772,13.07452,12.5,-87,3.63,29.1,1,1,-127
2025/05/09 19:21:00,0,2.16902,8.41432,15.07503,15.34126,6.93353,24.11739,19.7919,15.59436,14.33219,13.544,13.04834,11.2,-85,-1,-1000,1,1,-127
2025/05/09 19:36:00,0,2.16441,8.41168,15.06422,15.35303,6.92699,23.56977,19.60834,15.72078,14.33219,13.62281,13.07452,13,-83,-1,-1000,1,1,-127
2025/05/09 19:51:00,0,2.17709,8.40641,15.07503,15.33734,6.93353,22.95623,19.25503,15.72078,14.35032,13.67536,13.12687,11.8,-81,-1,-1000,1,1,-127
2025/05/09 20:06:00,0,2.16902,8.40641,15.07143,15.34126,6.93789,22.5472,19.08062,15.74608,14.32786,13.70164,13.10069,11.8,-85,-1,-1000,1,1,-127
2025/05/09 20:21:00,0,2.17593,8.40904,15.08943,15.32558,6.93134,22.49607,18.84474,15.74608,14.35466,13.70164,13.12687,12,-83,-1,-1000,1,1,-127
2025/05/09 20:36:00,0,2.16557,8.41432,15.07143,15.3295,6.92481,22.1893,18.83589,15.74608,14.39958,13.70164,13.12687,11.8,-86,-1,-1000,1,1,-127
2025/05/09 20:51:00,0,2.16672,8.41432,15.08583,15.3295,6.92481,22.34268,18.61602,15.74608,14.32786,13.70164,13.1792,12,-82,-1,-1000,1,1,-127
2025/05/09 21:06:00,0,2.16326,8.41432,15.07503,15.33342,6.92263,22.13817,18.65707,15.74608,14.43729,13.70164,13.15302,11.5,-85,-1,-1000,1,1,-127
2025/05/09 21:21:00,0,2.16787,8.41432,15.08583,15.33342,6.92263,21.95922,18.4783,15.74608,14.50845,13.70164,13.23154,10,-86,-1,-1000,1,1,-127
2025/05/09 21:36:00,0,2.15867,8.41695,15.06783,15.33734,6.92699,21.67802,18.41665,15.72485,14.46357,13.70164,13.15302,11.5,-83,-1,-1000,1,1,-127
2025/05/09 21:51:00,0,2.17939,8.41695,15.06422,15.33734,6.92263,21.72915,18.23786,15.74608,14.60967,13.70164,13.23154,9.8,-87,-1,-1000,1,1,-127
2025/05/09 22:06:00,0,2.16097,8.41695,15.07143,15.33734,6.92699,21.52462,18.23786,15.74608,14.53088,13.70164,13.20537,12,-81,-1,-1000,1,1,-127
2025/05/09 22:21:00,0,2.16441,8.41695,15.07863,15.33734,6.92045,21.3201,18.10464,15.74608,14.54239,13.70164,13.23154,12,-81,-1,-1000,1,1,-127
2025/05/09 22:36:00,0,2.16326,8.41695,15.07503,15.33734,6.92481,21.24342,18.10034,15.74608,14.54239,13.70164,13.23154,11.8,-81,-1,-1000,1,1,-127
2025/05/09 22:51:00,0,2.15982,8.41958,15.07863,15.34126,6.92263,21.52462,18.07974,15.74608,14.54239,13.72791,13.23154,11.8,-80,-1,-1000,1,1,-127
2025/05/09 23:06:06,0,2.16097,8.41695,15.07503,15.33342,6.92481,21.72915,18.09171,15.74608,14.54239,13.72791,13.23154,13.8,-88,3.63,26.2,1,1,-127
2025/05/09 23:21:00,0,2.15523,8.41432,15.07863,15.33734,6.92481,21.95922,18.04622,15.74608,14.54239,13.72791,13.23154,13.8,-88,-1,-1000,1,1,-127
2025/05/09 23:36:00,0,2.15179,8.41958,15.08222,15.32558,6.92481,21.72915,18.02131,15.6955,14.54239,13.833,13.23154,12,-89,-1,-1000,1,1,-127
2025/05/09 23:51:00,0,2.15523,8.41432,15.08583,15.3295,6.92481,21.70357,17.92598,15.72078,14.62121,13.88554,13.23154,13,-83,-1,-1000,1,1,-127
2025/05/10 00:06:00,0,2.14721,8.41958,15.08222,15.31775,6.92699,21.72915,17.9217,15.74608,14.61351,13.85927,13.23154,13,-84,-1,-1000,1,1,-127
2025/05/10 00:35:59,0,2.14378,8.43541,15.07503,15.32558,6.92699,21.93365,17.97151,15.64493,14.63544,13.91182,13.23154,11.8,-86,-1,-1000,1,1,-127
2025/05/10 00:50:59,0,2.14149,8.42486,15.07863,15.31775,6.92699,22.34268,18.14152,15.54378,14.61302,13.91182,13.23154,10.2,-87,-1,-1000,1,1,-127
2025/05/10 01:20:59,0,2.1335,8.42486,15.09664,15.32166,6.92917,22.5472,18.03852,15.6955,14.72244,13.91182,13.23154,12.2,-83,-1,-1000,-1001,-1001,-1001
2025/05/10 01:35:59,0,2.13236,8.42486,15.07863,15.32558,6.93134,22.7517,18.03852,15.54378,14.66942,13.91182,13.23154,14,-85,-1,-1000,1,1,-127
2025/05/10 01:50:59,0,2.12325,8.44597,15.08943,15.32558,6.93134,22.5472,18.12093,15.59436,14.69569,13.91182,13.23154,11.2,-91,-1,-1000,1,1,-127
2025/05/10 02:05:59,0,2.12098,8.43013,15.08583,15.32558,6.92481,21.95922,18.10034,15.64493,14.72244,13.91182,13.25771,14.5,-82,-1,-1000,1,1,-127
2025/05/10 02:35:59,0,2.1278,8.43805,15.08222,15.33342,6.92481,21.05953,17.90108,15.56907,14.75257,13.91182,13.23154,15.8,-84,-1,-1000,1,1,-127
2025/05/10 02:50:59,0,2.12325,8.44069,15.08943,15.33342,6.93134,20.91108,17.91313,15.56907,14.75257,13.96437,13.28388,16,-83,-1,-1000,1,1,-127
