Date Time,A1(10),A2(20),A3(30),A4(40),A5(50),A6(60),T1(10),T2(20),T3(30),T4(40),T5(50),T6(60),C1,C2,V1,T65,G1,G2,G3
2024/09/01 19:56:07,0.05,2.25,5.54,6.77,6.11,9.12,21.09,29.82,26.91,24.75,23.87,23.68,11.5,-27,-1,-1000,1,1,-127
2024/09/01 20:10:46,0.05,2.25,5.55,6.77,6.12,9.12,20.49,29.49,26.97,24.73,23.93,23.65,9.2,-28,-1,-1000,1,1,-127
2024/09/01 20:25:46,0.05,2.25,5.57,6.77,6.12,9.12,19.94,29.33,26.93,24.85,23.9,23.62,11.2,-27,-1,-1000,1,1,-127
2024/09/01 20:40:46,0.05,2.26,5.61,6.77,6.12,9.1,19.42,29.06,26.95,24.96,23.92,23.67,11.5,-28,-1,-1000,1,1,-127
2024/09/01 20:55:46,0.06,2.27,5.6,6.77,6.11,9.12,18.98,28.73,26.97,25.01,23.95,23.61,11.5,-27,-1,-1000,1,1,-127
2024/09/01 21:10:46,0.06,2.27,5.6,6.77,6.11,9.11,18.66,28.52,27.02,25.01,24,23.61,11.5,-28,-1,-1000,1,1,-127
2024/09/01 21:25:46,0.06,2.27,5.6,6.77,6.1,9.11,18.32,28.28,27.09,25.04,24.05,23.54,11.5,-28,-1,-1000,1,1,-127
2024/09/01 21:40:46,0.06,2.27,5.6,6.78,6.11,9.12,18.05,27.96,27.04,24.96,24.03,23.64,11.2,-27,-1,-1000,1,1,-127
2024/09/01 21:55:46,0.06,2.28,5.61,6.77,6.1,9.12,17.87,27.78,27.01,25.14,24.06,23.64,11.8,-28,-1,-1000,1,1,-127
2024/09/01 22:10:46,0.06,2.29,5.62,6.77,6.11,9.12,17.52,27.54,27.07,25.2,24.06,23.61,11.5,-28,-1,-1000,1,1,-127
2024/09/01 22:25:46,0.06,2.29,5.61,6.76,6.1,9.12,17.32,27.32,26.99,25.18,24.08,23.52,11.8,-28,-1,-1000,1,1,-127
2024/09/01 22:40:46,0.06,2.3,5.61,6.77,6.11,9.11,17.08,27.1,26.97,25.1,24.06,23.61,11.8,-28,-1,-1000,1,1,-127
2024/09/01 22:55:49,0.06,2.3,5.61,6.78,6.1,9.11,16.93,26.97,26.94,25.2,24.08,23.69,11.5,-27,-1,-1000,1,1,-127
2024/09/01 23:10:47,0.06,2.3,5.61,6.79,6.1,9.1,16.88,26.72,26.97,25.2,24.08,23.68,12.2,-28,-1,-1000,1,1,-127
2024/09/01 23:25:47,0.06,2.31,5.61,6.78,6.11,9.12,16.88,26.52,26.86,25.3,24.08,23.73,11.5,-28,-1,-1000,1,1,-127
2024/09/01 23:40:46,0.06,2.31,5.63,6.77,6.11,9.11,16.9,26.28,26.78,25.33,24.08,23.64,11.8,-28,-1,-1000,1,1,-127
2024/09/01 23:56:07,0.06,2.31,5.62,6.78,6.11,9.12,16.9,26.29,26.78,25.2,24.08,23.74,12,-28,3.63,16.4,1,1,-127
2024/09/02 00:10:46,0.06,2.31,5.62,6.77,6.11,9.12,16.88,26.09,26.78,25.38,24.08,23.66,11.5,-28,-1,-1000,1,1,-127
2024/09/02 00:25:46,0.06,2.32,5.62,6.77,6.11,9.11,16.7,25.91,26.78,25.38,24.13,23.66,12.5,-28,-1,-1000,1,1,-127
2024/09/02 00:40:46,0.06,2.32,5.63,6.77,6.11,9.11,16.78,25.73,26.78,25.38,24.15,23.6,11.8,-28,-1,-1000,1,1,-127
2024/09/02 00:55:46,0.06,2.33,5.63,6.77,6.11,9.11,16.9,25.59,26.57,25.38,24.13,23.66,12,-28,-1,-1000,1,1,-127
2024/09/02 01:10:46,0.06,2.32,5.63,6.79,6.09,9.11,16.7,25.53,26.55,25.33,24.21,23.73,12.2,-28,-1,-1000,1,1,-127
2024/09/02 01:25:46,0.06,2.33,5.62,6.77,6.1,9.11,16.5,25.33,26.55,25.46,24.23,23.68,9,-28,-1,-1000,1,1,-127
2024/09/02 01:40:46,0.06,2.33,5.63,6.77,6.11,9.12,16.3,25.13,26.44,25.41,24.21,23.67,11.5,-28,-1,-1000,1,1,-127
2024/09/02 01:55:46,0.07,2.33,5.63,6.77,6.1,9.11,15.9,25.15,26.36,25.43,24.28,23.76,12,-28,-1,-1000,1,1,-127
2024/09/02 02:10:46,0.07,2.34,5.63,6.77,6.09,9.11,15.31,24.95,26.36,25.41,24.23,23.76,11.5,-27,-1,-1000,1,1,-127
2024/09/02 02:25:46,0.07,2.34,5.63,6.78,6.1,9.12,14.91,24.71,26.36,25.38,24.24,23.74,11.5,-28,-1,-1000,1,1,-127
2024/09/02 02:40:46,0.07,2.34,5.64,6.77,6.1,9.11,14.56,24.63,26.21,25.41,24.28,23.68,11.5,-27,-1,-1000,1,1,-127
2024/09/02 02:55:46,0.07,2.34,5.64,6.78,6.1,9.11,14.38,24.51,26.15,25.39,24.28,23.74,12.2,-28,-1,-1000,1,1,-127
2024/09/02 03:10:46,0.07,2.35,5.63,6.79,6.1,9.12,14.76,24.39,26.15,25.33,24.28,23.72,11.8,-27,-1,-1000,1,1,-127
2024/09/02 03:25:46,0.07,2.35,5.64,6.79,6.1,9.12,14.52,24.31,26.02,25.46,24.28,23.7,11.5,-27,-1,-1000,1,1,-127
2024/09/02 03:40:46,0.07,2.35,5.64,6.78,6.11,9.12,14.37,24.11,25.97,25.28,24.24,23.68,11.8,-28,-1,-1000,1,1,-127
2024/09/02 03:56:07,0.07,2.35,5.64,6.78,6.1,9.11,14.47,23.91,25.94,25.35,24.28,23.76,9,-28,3.63,14.7,1,1,-127
2024/09/02 04:10:46,0.07,2.35,5.63,6.78,6.1,9.12,14.07,23.85,25.94,25.36,24.28,23.72,12.5,-28,-1,-1000,1,1,-127
2024/09/02 04:25:46,0.07,2.35,5.65,6.78,6.1,9.11,13.85,23.77,25.84,25.36,24.28,23.78,12.2,-28,-1,-1000,1,1,-127
2024/09/02 04:40:46,0.07,2.36,5.64,6.79,6.1,9.12,13.7,23.58,25.73,25.25,24.28,23.72,11.2,-28,-1,-1000,1,1,-127
2024/09/02 04:55:46,0.07,2.36,5.64,6.79,6.1,9.12,13.41,23.52,25.73,25.25,24.24,23.7,11.8,-27,-1,-1000,1,1,-127
2024/09/02 05:10:45,0.07,2.36,5.64,6.79,6.11,9.12,13.27,23.37,25.71,25.25,24.26,23.64,11.5,-28,-1,-1000,1,1,-127
2024/09/02 05:25:49,0.08,2.37,5.65,6.79,6.11,9.12,13.05,23.23,25.58,25.25,24.28,23.66,12,-28,-1,-1000,1,1,-127
2024/09/02 05:40:46,0.08,2.36,5.64,6.79,6.11,9.12,12.86,23.12,25.53,25.22,24.28,23.66,11.8,-27,-1,-1000,1,1,-127
2024/09/02 05:55:46,0.08,2.37,5.64,6.79,6.11,9.12,12.72,23.05,25.53,25.25,24.28,23.75,12.2,-28,-1,-1000,1,1,-127
2024/09/02 06:10:46,0.08,2.36,5.64,6.79,6.11,9.12,12.68,22.98,25.5,25.23,24.28,23.72,11.5,-28,-1,-1000,1,1,-127
2024/09/02 06:25:46,0.08,2.37,5.63,6.79,6.11,9.12,12.7,22.86,25.32,25.2,24.28,23.68,11.5,-28,-1,-1000,1,1,-127
2024/09/02 06:40:46,0.08,2.4,5.62,6.79,6.11,9.12,12.7,22.74,25.32,25.17,24.28,23.7,11.5,-27,-1,-1000,1,1,-127
2024/09/02 06:55:46,0.08,2.41,5.61,6.79,6.11,9.13,12.9,22.62,25.32,25.2,24.28,23.72,12,-28,-1,-1000,1,1,-127
2024/09/02 07:10:46,0.08,2.42,5.63,6.8,6.11,9.12,13.1,22.57,25.11,25.12,24.28,23.7,8.8,-28,-1,-1000,1,1,-127
2024/09/02 07:25:46,0.07,2.4,5.62,6.79,6.11,9.12,13.47,22.44,25.11,25.07,24.26,23.76,11.5,-28,-1,-1000,-1001,-1001,-1001
2024/09/02 07:56:07,0.07,2.41,5.62,6.8,6.11,9.12,14.4,22.21,25,24.96,24.28,23.64,12.2,-28,3.63,18,1,1,-127
2024/09/02 08:10:46,0.07,2.41,5.63,6.8,6.11,9.12,15.1,22.22,24.93,24.96,24.28,23.68,12.2,-28,-1,-1000,1,1,-127
2024/09/02 08:25:46,0.07,2.41,5.62,6.8,6.11,9.11,15.93,22.18,24.94,24.99,24.28,23.74,12.2,-27,-1,-1000,1,1,-127
2024/09/02 08:40:46,0.06,2.4,5.62,6.8,6.11,9.13,16.92,22.03,24.9,25.01,24.28,23.74,12,-28,-1,-1000,1,1,-127
2024/09/02 08:55:46,0.05,2.41,5.63,6.79,6.11,9.12,18.89,21.98,24.69,24.99,24.28,23.77,12.2,-28,-1,-1000,1,1,-127
2024/09/02 09:10:46,0.05,2.41,5.62,6.79,6.11,9.13,21.17,22.02,24.69,24.96,24.28,23.72,12,-28,-1,-1000,1,1,-127
2024/09/02 09:25:46,0.04,2.41,5.62,6.79,6.11,9.13,23.85,21.97,24.69,24.91,24.26,23.74,12,-28,-1,-1000,1,1,-127
2024/09/02 09:40:45,0.04,2.41,5.62,6.81,6.11,9.12,25.51,22.04,24.57,24.93,24.28,23.7,12.2,-28,-1,-1000,1,1,-127
2024/09/02 09:55:45,0.03,2.41,5.63,6.8,6.11,9.12,28,22.16,24.53,24.88,24.28,23.74,12,-28,-1,-1000,1,1,-127
2024/09/02 10:10:45,0.03,2.4,5.62,6.8,6.1,9.12,30.17,22.44,24.48,24.78,24.28,23.74,11.5,-28,-1,-1000,1,1,-127
2024/09/02 10:25:45,0.02,2.39,5.62,6.81,6.1,9.12,32,22.58,24.48,24.8,24.26,23.79,12,-28,-1,-1000,1,1,-127
2024/09/02 10:40:45,0.02,2.39,5.63,6.8,6.1,9.11,33.7,22.82,24.46,24.73,24.28,23.7,12.2,-28,-1,-1000,1,1,-127
2024/09/02 10:55:45,0.02,2.39,5.62,6.8,6.1,9.11,35.25,23.1,24.39,24.8,24.26,23.66,12,-28,-1,-1000,1,1,-127
2024/09/02 11:10:45,0.02,2.39,5.63,6.79,6.1,9.12,36.03,23.37,24.29,24.72,24.28,23.77,11.8,-28,-1,-1000,1,1,-127
2024/09/02 11:25:45,0.02,2.38,5.62,6.8,6.1,9.12,36.6,23.72,24.29,24.54,24.28,23.74,11.2,-28,-1,-1000,1,1,-127
2024/09/02 11:40:45,0.02,2.37,5.62,6.82,6.1,9.11,37.16,24.08,24.27,24.49,24.28,23.71,12.2,-27,-1,-1000,1,1,-127
2024/09/02 11:56:19,0.01,2.37,5.62,6.81,6.11,9.12,37.91,24.43,24.29,24.54,24.23,23.7,12,-28,3.63,34.8,1,1,-127
2024/09/02 12:10:46,0.01,2.36,5.62,6.81,6.1,9.12,38.97,24.76,24.31,24.59,24.23,23.72,12.2,-28,-1,-1000,1,1,-127
2024/09/02 12:25:46,0.01,2.35,5.63,6.81,6.11,9.12,40.13,25.39,24.31,24.54,24.18,23.7,12,-28,-1,-1000,1,1,-127
2024/09/02 12:40:46,0.01,2.34,5.63,6.79,6.11,9.12,41.13,25.64,24.29,24.51,24.18,23.77,9,-28,-1,-1000,1,1,-127
2024/09/02 12:55:46,0.01,2.33,5.63,6.8,6.11,9.13,41.51,26.11,24.35,24.56,24.23,23.74,12,-28,-1,-1000,1,1,-127
