Date Time,A1(10),A2(20),A3(30),A4(40),A5(50),A6(60),T1(10),T2(20),T3(30),T4(40),T5(50),T6(60),C1,C2,V1,T65,G1,G2,G3
2024/09/01 17:45:12,4.91,5.01,15.4,17.36,9.71,7.68,19.07,16.99,17.06,16.81,16.77,16.58,11.8,-68,-1,-1000,1,1,-127
2024/09/01 18:44:42,4.92,5.02,15.41,17.37,9.71,7.68,18.93,17.24,17.06,16.81,16.76,16.58,9.8,-69,-1,-1000,1,1,-127
2024/09/01 19:44:42,4.93,5.01,15.41,17.38,9.73,7.68,18.6,17.2,17.16,16.78,16.81,16.6,11.8,-69,-1,-1000,1,1,-127
2024/09/01 20:44:41,4.95,5.02,15.4,17.38,9.71,7.68,18.19,17.38,17.26,16.94,16.74,16.58,11.8,-68,-1,-1000,1,1,-127
2024/09/01 21:45:02,4.96,5.02,15.41,17.39,9.73,7.68,17.81,17.46,17.28,16.86,16.76,16.58,11.8,-68,3.65,16.1,1,1,-127
2024/09/01 22:44:41,4.97,5.01,15.42,17.36,9.73,7.68,17.55,17.41,17.26,16.94,16.77,16.58,11.8,-68,-1,-1000,1,1,-127
2024/09/01 23:44:44,4.98,5.03,15.43,17.38,9.72,7.68,17.19,17.31,17.26,16.96,16.81,16.58,11.5,-69,-1,-1000,1,1,-127
2024/09/02 00:44:46,4.97,5.02,15.42,17.37,9.72,7.68,17.11,17.24,17.31,16.99,16.81,16.58,11.5,-69,-1,-1000,1,1,-127
2024/09/02 01:45:06,4.98,5.02,15.42,17.37,9.72,7.68,16.99,17.22,17.31,16.99,16.81,16.58,11.2,-68,3.65,15.9,1,1,-127
2024/09/02 02:44:45,4.98,5.03,15.43,17.37,9.72,7.68,16.78,17.09,17.36,16.99,16.79,16.58,11.8,-69,-1,-1000,1,1,-127
2024/09/02 03:44:45,5,5.04,15.43,17.38,9.72,7.68,16.42,17.08,17.31,16.97,16.81,16.6,11.5,-69,-1,-1000,1,1,-127
2024/09/02 04:44:45,5,5.02,15.44,17.38,9.72,7.68,16.19,16.99,17.26,17.01,16.81,16.58,11.8,-69,-1,-1000,1,1,-127
2024/09/02 05:45:05,5.01,5.04,15.44,17.39,9.72,7.69,15.99,16.93,17.26,17.01,16.81,16.58,9.5,-69,3.65,11.8,1,1,-127
2024/09/02 06:44:45,5.03,5.04,15.43,17.38,9.73,7.69,15.7,16.76,17.29,16.99,16.81,16.58,11.5,-69,-1,-1000,1,1,-127
2024/09/02 07:44:44,5.02,5.03,15.43,17.39,9.72,7.69,15.62,16.77,17.26,16.99,16.81,16.58,11.5,-69,-1,-1000,1,1,-127
2024/09/02 08:44:44,5.02,5.04,15.43,17.38,9.73,7.69,15.6,16.62,17.26,17.01,16.81,16.58,11.5,-71,-1,-1000,1,1,-127
2024/09/02 09:45:04,5,5.03,15.41,17.37,9.72,7.68,15.99,16.6,17.26,16.97,16.81,16.58,11.8,-69,3.65,19.6,1,1,-127
2024/09/02 10:44:44,4.99,5.03,15.4,17.36,9.73,7.68,16.58,16.56,17.21,17.01,16.81,16.58,11.5,-68,-1,-1000,1,1,-127
2024/09/02 11:44:43,4.97,5.03,15.4,17.36,9.72,7.68,16.99,16.62,17.21,16.99,16.81,16.58,11.8,-68,-1,-1000,1,1,-127
2024/09/02 12:44:43,4.96,5.02,15.41,17.35,9.71,7.68,17.4,16.66,17.13,16.99,16.79,16.58,11.8,-70,-1,-1000,1,1,-127
2024/09/02 13:45:03,4.94,5.03,15.4,17.35,9.71,7.68,17.81,16.64,17.11,16.96,16.79,16.58,9.8,-70,3.65,24.9,1,1,-127
2024/09/02 14:44:43,4.94,5.02,15.38,17.34,9.71,7.67,18.24,16.77,17.11,16.99,16.81,16.58,11.5,-69,-1,-1000,1,1,-127
2024/09/02 15:44:43,4.92,5.01,15.39,17.33,9.71,7.67,18.81,16.87,17.06,17.01,16.81,16.58,11.5,-70,-1,-1000,1,1,-127
2024/09/02 16:44:43,4.91,5.01,15.4,17.33,9.71,7.67,19.22,17.03,17.23,16.96,16.81,16.58,9.2,-71,-1,-1000,1,1,-127
2024/09/02 17:45:12,4.9,5.02,15.37,17.33,9.71,7.67,19.36,17.12,17.16,16.97,16.81,16.58,11.5,-69,3.65,24.4,1,1,-127
2024/09/02 18:44:42,4.91,5.02,15.38,17.34,9.71,7.67,19.22,17.2,17.26,16.99,16.81,16.58,11.8,-69,-1,-1000,1,1,-127
2024/09/02 19:44:42,4.93,5.01,15.4,17.34,9.71,7.67,18.83,17.38,17.26,16.99,16.81,16.58,10.8,-68,-1,-1000,1,1,-127
2024/09/02 20:44:42,4.95,5.02,15.41,17.35,9.71,7.67,18.44,17.38,17.26,16.99,16.81,16.58,11.2,-70,-1,-1000,1,1,-127
2024/09/02 21:45:02,4.95,5.03,15.41,17.36,9.71,7.68,18.21,17.43,17.29,17.01,16.81,16.58,11.8,-69,3.65,17.9,1,1,-127
2024/09/02 22:44:41,4.95,5.03,15.4,17.36,9.71,7.68,18.01,17.43,17.34,17.01,16.81,16.58,9.8,-69,-1,-1000,1,1,-127
2024/09/02 23:44:41,4.96,5.03,15.4,17.36,9.72,7.68,17.81,17.4,17.46,17.01,16.81,16.58,11.5,-69,-1,-1000,-1001,-1001,-1001
2024/09/03 00:44:41,4.96,5.02,15.4,17.36,9.72,7.68,17.83,17.4,17.46,17.01,16.81,16.58,11.5,-69,-1,-1000,1,1,-127
2024/10/26 13:38:52,5.94,6.34,17.61,15.79,10.12,8.31,16.68,15.86,16.47,16.47,16.4,16.27,11.2,-70,3.68,24,-1001,-1001,-1001
2024/10/26 14:38:46,5.93,6.33,17.61,15.8,10.12,8.3,-1000,-1000,-1000,-1000,-1000,-1000,12,-71,-1,-1000,1,1,-127
2024/10/26 15:38:45,5.92,6.33,17.6,15.8,10.12,8.3,17.47,16.07,16.45,16.39,16.4,16.29,12,-73,-1,-1000,1,1,-127
2024/10/26 16:38:45,5.92,6.32,17.61,15.8,10.12,8.3,17.81,16.23,16.45,16.42,16.37,16.24,12,-68,-1,-1000,1,1,-127
2024/10/26 17:39:04,5.93,6.33,17.61,15.8,10.12,8.32,17.93,16.23,16.45,16.39,16.4,16.29,12,-73,3.68,22.1,1,1,-127
2024/10/26 18:38:45,5.94,6.33,17.62,15.81,10.12,8.3,17.81,16.37,16.45,16.39,16.42,16.35,9.8,-68,-1,-1000,1,1,-127
2024/10/26 19:38:45,5.94,6.33,17.63,15.81,10.12,8.31,17.63,16.57,16.47,16.37,16.4,16.24,11.8,-71,-1,-1000,1,1,-127
2024/10/26 20:38:45,5.94,6.34,17.64,15.81,10.12,8.31,17.6,16.58,16.55,16.33,16.34,16.27,11.8,-67,-1,-1000,1,1,-127
2024/10/26 21:39:05,5.95,6.34,17.61,15.81,10.12,8.3,17.4,16.62,16.62,16.44,16.4,16.29,9.5,-69,3.68,19.8,1,1,-127
2024/10/26 22:38:44,5.96,6.34,17.61,15.81,10.12,8.31,17.19,16.64,16.65,16.42,16.42,16.24,11,-72,-1,-1000,1,1,-127
2024/10/26 23:38:44,5.95,6.34,17.62,15.81,10.12,8.32,17.19,16.63,16.65,16.42,16.35,16.27,11.5,-72,-1,-1000,1,1,-127
2024/10/27 00:38:44,5.94,6.35,17.63,15.82,10.12,8.31,17.19,16.62,16.7,16.39,16.37,16.24,11.8,-70,-1,-1000,1,1,-127
2024/10/27 01:39:04,5.96,6.35,17.62,15.8,10.12,8.32,16.99,16.66,16.75,16.52,16.4,16.29,11.5,-70,3.68,18.4,1,1,-127
2024/10/27 02:38:43,5.95,6.35,17.63,15.81,10.12,8.31,16.99,16.58,16.75,16.55,16.4,16.32,11.5,-73,-1,-1000,1,1,-127
