Date Time,A1(10),A2(20),A3(30),T1(10),T2(20),T3(30),C1,C2,V1,T65,G1,G2,G3
2024/08/19 09:46:05,0,0,0,22.83,22.82,23.03,11.8,-14,-1,-1000,1,1,-127
2024/08/19 10:00:45,0,0,0,22.83,22.85,23.26,11.8,-14,-1,-1000,1,1,-127
2024/08/19 10:15:45,0,0,0,22.93,23,23.24,11.8,-18,-1,-1000,1,1,-127
2024/08/19 10:30:45,0,0.01,0,22.99,23.03,23.26,12.2,-17,-1,-1000,1,1,-127
2024/08/19 10:45:45,0,0.01,0,23.05,23.21,23.42,11.5,-22,-1,-1000,1,1,-127
2024/08/19 11:00:45,0,0.01,0,23.1,23.23,23.45,11.5,-25,-1,-1000,1,1,-127
2024/08/19 11:15:45,0,0.01,0,23.08,23.23,23.47,11.8,-29,-1,-1000,1,1,-127
2024/08/19 11:30:45,0,0.01,0,23.23,23.23,23.45,11.8,-23,-1,-1000,1,1,-127
2024/08/19 11:45:45,0,0.02,0,23.27,23.26,23.59,11.5,-13,-1,-1000,1,1,-127
2024/08/19 12:00:45,0,0.02,0,23.29,23.44,23.6,11.5,-13,-1,-1000,1,1,-127
2024/08/19 12:15:44,0,0.01,0,23.36,23.44,23.64,9.2,-18,-1,-1000,1,1,-127
2024/08/19 12:30:44,0,0.01,0,23.44,23.44,23.6,11.5,-15,-1,-1000,1,1,-127
2024/08/19 12:45:44,0,0.01,0,23.48,23.44,23.71,11.5,-17,-1,-1000,1,1,-127
2024/08/19 13:00:44,0,0.01,0,23.48,23.49,23.83,8.2,-17,-1,-1000,1,1,-127
2024/08/19 13:15:44,0,0.01,0,23.64,23.65,23.85,11.8,-14,-1,-1000,1,1,-127
2024/08/19 13:30:44,0,0,0,23.6,23.65,23.85,11.8,-14,-1,-1000,1,1,-127
2024/08/19 13:46:15,0,0,0,23.78,23.85,24.02,11.8,-12,3.63,24.7,1,1,-127
2024/08/19 14:00:44,0,0,0,23.93,23.85,24.02,12,-13,-1,-1000,1,1,-127
2024/08/19 14:15:44,0,0,0,23.96,24.06,24.23,11.5,-13,-1,-1000,1,1,-127
2024/08/19 14:30:44,0,0,0,24.12,24.09,24.33,9,-18,-1,-1000,1,1,-127
2024/08/19 14:45:44,0,0,0,24.18,24.19,24.48,11.8,-17,-1,-1000,1,1,-127
2024/08/19 15:00:44,0,0,0,24.17,24.27,24.46,11.2,-19,-1,-1000,1,1,-127
2024/08/19 15:15:44,0,0,0,24.28,24.29,24.46,12,-14,-1,-1000,1,1,-127
2024/08/19 15:30:44,0,0,0,24.39,24.42,24.54,11.5,-16,-1,-1000,1,1,-127
2024/08/19 15:45:47,0,0,0,24.41,24.47,24.64,11.8,-14,-1,-1000,1,1,-127
2024/08/19 16:00:46,0,0,0,24.37,24.47,24.62,11.8,-14,-1,-1000,1,1,-127
2024/08/19 16:15:46,0,0,0,24.42,24.53,24.62,12.2,-13,-1,-1000,1,1,-127
